step,lr
50,0.0003
100,0.0003
150,0.0003
200,0.0003
250,0.0003
50,0.0003
100,0.0003
150,0.0003
200,0.0003
250,0.0003
300,0.0003
350,0.0003
400,0.0003
450,0.0003
500,0.0003
550,0.0003
600,0.0003
650,0.0003
700,0.0003
750,0.0003
800,0.0003
850,0.0003
900,0.0003
950,0.0003
1000,0.0003
1050,0.0003
1100,0.0003
1150,0.0003
1200,0.0003
1250,0.0003
1300,0.0003
1350,0.0003
1400,0.0003
1450,0.0003
1500,0.0003
1550,0.0003
1600,0.0003
1650,0.0003
1700,0.0003
1750,0.0003
1800,0.0003
1850,0.0003
1900,0.0003
1950,0.0003
2000,0.0003
2050,0.0003
2100,0.0003
2150,0.0003
2200,0.0003
2250,0.0003
2300,0.0003
2350,0.0003
2400,0.0003
2450,0.0003
2500,0.0003
2550,0.0003
2600,0.0003
2650,0.0003
2700,0.0003
2750,0.0003
2800,0.0003
2850,0.0003
2900,0.0003
2950,0.0003
3000,0.0003
3050,0.0003
3100,0.0003
3150,0.0003
3200,0.0003
3250,0.0003
3300,0.0003
3350,0.0003
3400,0.0003
3450,0.0003
3500,0.0003
3550,0.0003
3600,0.0003
3650,0.0003
3700,0.0003
3750,0.0003
3800,0.0003
3850,0.0003
3900,0.0003
3950,0.0003
4000,0.0003
4050,0.0003
4100,0.0003
4150,0.0003
4200,0.0003
4250,0.0003
4300,0.0003
4350,0.0003
4400,0.0003
4450,0.0003
4500,0.0003
4550,0.0003
4600,0.0003
4650,0.0003
4700,0.0003
4750,0.0003
4800,0.0003
4850,0.0003
4900,0.0003
4950,0.0003
5000,0.0003
5050,0.0003
5100,0.0003
5150,0.0003
5200,0.0003
5250,0.0003
5300,0.0003
5350,0.0003
5400,0.0003
5450,0.0003
5500,0.0003
5550,0.0003
5600,0.0003
5650,0.0003
5700,0.0003
5750,0.0003
5800,0.0003
5850,0.0003
5900,0.0003
5950,0.0003
6000,0.0003
6050,0.0003
6100,0.0003
6150,0.0003
6200,0.0003
6250,0.0003
6300,0.0003
6350,0.0003
6400,0.0003
6450,0.0003
6500,0.0003
6550,0.0003
6600,0.0003
6650,0.0003
6700,0.0003
6750,0.0003
6800,0.0003
6850,0.0003
6900,0.0003
6950,0.0003
7000,0.0003
7050,0.0003
7100,0.0003
7150,0.0003
7200,0.0003
7250,0.0003
7300,0.0003
7350,0.0003
7400,0.0003
7450,0.0003
7500,0.0003
7550,0.0003
7600,0.0003
7650,0.0003
7700,0.0003
7750,0.0003
7800,0.0003
7850,0.0003
7900,0.0003
7950,0.0003
8000,0.0003
8050,0.0003
8100,0.0003
8150,0.0003
8200,0.0003
8250,0.0003
8300,0.0003
8350,0.0003
8400,0.0003
8450,0.0003
8500,0.0003
8550,0.0003
8600,0.0003
8650,0.0003
8700,0.0003
8750,0.0003
8800,0.0003
8850,0.0003
8900,0.0003
8950,0.0003
9000,0.0003
9050,0.0003
9100,0.0003
9150,0.0003
9200,0.0003
9250,0.0003
9300,0.0003
9350,0.0003
9400,0.0003
9450,0.0003
9500,0.0003
9550,0.0003
9600,0.0003
9650,0.0003
9700,0.0003
9750,0.0003
9800,0.0003
9850,0.0003
9900,0.0003
9950,0.0003
10000,0.0003
10050,0.0003
10100,0.0003
10150,0.0003
10200,0.0003
10250,0.0003
10300,0.0003
10350,0.0003
10400,0.0003
10450,0.0003
10500,0.0003
10550,0.0003
10600,0.0003
10650,0.0003
10700,0.0003
10750,0.0003
10800,0.0003
10850,0.0003
10900,0.0003
10950,0.0003
11000,0.0003
11050,0.0003
11100,0.0003
11150,0.0003
11200,0.0003
11250,0.0003
11300,0.0003
11350,0.0003
11400,0.0003
11450,0.0003
11500,0.0003
11550,0.0003
11600,0.0003
11650,0.0003
11700,0.0003
11750,0.0003
11800,0.0003
11850,0.0003
11900,0.0003
11950,0.0003
12000,0.0003
12050,0.0003
12100,0.0003
12150,0.0003
12200,0.0003
12250,0.0003
12300,0.0003
12350,0.0003
12400,0.0003
12450,0.0003
12500,0.0003
12550,0.0003
12600,0.0003
12650,0.0003
12700,0.0003
12750,0.0003
12800,0.0003
12850,0.0003
12900,0.0003
12950,0.0003
13000,0.0003
13050,0.0003
13100,0.0003
13150,0.0003
13200,0.0003
13250,0.0003
13300,0.0003
13350,0.0003
13400,0.0003
13450,0.0003
13500,0.0003
13550,0.0003
13600,0.0003
13650,0.0003
13700,0.0003
13750,0.0003
13800,0.0003
13850,0.0003
13900,0.0003
13950,0.0003
14000,0.0003
14050,0.0003
14100,0.0003
14150,0.0003
14200,0.0003
14250,0.0003
14300,0.0003
14350,0.0003
14400,0.0003
14450,0.0003
14500,0.0003
14550,0.0003
14600,0.0003
14650,0.0003
14700,0.0003
14750,0.0003
14800,0.0003
14850,0.0003
14900,0.0003
14950,0.0003
15000,0.0003
15050,0.0003
15100,0.0003
15150,0.0003
15200,0.0003
15250,0.0003
15300,0.0003
15350,0.0003
15400,0.0003
15450,0.0003
15500,0.0003
15550,0.0003
15600,0.0003
15650,0.0003
15700,0.0003
15750,0.0003
15800,0.0003
15850,0.0003
15900,0.0003
15950,0.0003
16000,0.0003
16050,0.0003
16100,0.0003
16150,0.0003
16200,0.0003
16250,0.0003
16300,0.0003
16350,0.0003
16400,0.0003
16450,0.0003
16500,0.0003
16550,0.0003
16600,0.0003
16650,0.0003
16700,0.0003
16750,0.0003
16800,0.0003
16850,0.0003
16900,0.0003
16950,0.0003
17000,0.0003
17050,0.0003
17100,0.0003
17150,0.0003
17200,0.0003
17250,0.0003
17300,0.0003
17350,0.0003
17400,0.0003
17450,0.0003
17500,0.0003
17550,0.0003
17600,0.0003
17650,0.0003
17700,0.0003
17750,0.0003
17800,0.0003
17850,0.0003
17900,0.0003
17950,0.0003
18000,0.0003
18050,0.0003
18100,0.0003
18150,0.0003
18200,0.0003
18250,0.0003
18300,0.0003
18350,0.0003
18400,0.0003
18450,0.0003
18500,0.0003
18550,0.0003
18600,0.0003
18650,0.0003
18700,0.0003
18750,0.0003
18800,0.0003
18850,0.0003
18900,0.0003
18950,0.0003
19000,0.0003
19050,0.0003
19100,0.0003
19150,0.0003
19200,0.0003
19250,0.0003
19300,0.0003
19350,0.0003
19400,0.0003
19450,0.0003
19500,0.0003
19550,0.0003
19600,0.0003
19650,0.0003
19700,0.0003
19750,0.0003
10,0.00029998
20,0.00029993
30,0.00029985
40,0.00029973
50,0.00029958
60,0.00029940
70,0.00029918
80,0.00029894
90,0.00029865
100,0.00029834
110,0.00029799
120,0.00029761
130,0.00029720
140,0.00029675
150,0.00029627
160,0.00029576
170,0.00029522
180,0.00029464
190,0.00029403
200,0.00029339
210,0.00029272
220,0.00029202
230,0.00029128
240,0.00029052
250,0.00028972
260,0.00028890
270,0.00028804
280,0.00028715
290,0.00028623
300,0.00028529
310,0.00028431
320,0.00028330
330,0.00028227
340,0.00028120
350,0.00028011
360,0.00027898
370,0.00027783
380,0.00027666
390,0.00027545
400,0.00027422
410,0.00027296
420,0.00027167
430,0.00027036
440,0.00026902
450,0.00026765
460,0.00026626
470,0.00026485
480,0.00026341
490,0.00026195
500,0.00026046
510,0.00025895
520,0.00025741
530,0.00025586
540,0.00025428
550,0.00025268
560,0.00025105
570,0.00024941
580,0.00024774
590,0.00024606
600,0.00024435
610,0.00024263
620,0.00024088
630,0.00023912
640,0.00023734
650,0.00023554
660,0.00023372
670,0.00023189
680,0.00023004
690,0.00022817
700,0.00022629
710,0.00022439
720,0.00022248
730,0.00022055
740,0.00021861
750,0.00021666
760,0.00021470
770,0.00021272
780,0.00021073
790,0.00020873
800,0.00020672
810,0.00020470
820,0.00020266
830,0.00020062
840,0.00019857
850,0.00019652
860,0.00019445
870,0.00019238
880,0.00019030
890,0.00018821
900,0.00018612
